- Statistische Kenngrößen der  Klassen k mit den Eigenschaften j
 k | j |   EM[k, j] |   SM[k, j] |   uM[k, j] 
 0 | 0 |      0,000 |    0,00000 |    0,00000 
 0 | 1 |      0,000 |    0,00000 |    0,00000 
 1 | 0 |    382,415 |   13,11897 |   28,87485 
 1 | 1 |   4293,545 |  161,63440 |  355,75730 
 2 | 0 |    187,742 |    2,18145 |    4,80137 
 2 | 1 |   1930,091 |   92,70756 |  204,04930 
 3 | 0 |    203,328 |    3,16662 |    6,96973 
 3 | 1 |   2106,455 |   99,55437 |  219,11920 
